playlist_genre,danceability,energy,valence,liveness,speechiness,acousticness,track_popularity,track_name,track_artist
pop,0.521,0.592,0.535,0.122,0.0304,0.308,100,Die With A Smile,"Lady Gaga, Bruno Mars"
pop,0.747,0.507,0.438,0.117,0.0358,0.2,97,BIRDS OF A FEATHER,Billie Eilish
pop,0.554,0.808,0.372,0.159,0.0368,0.214,93,That’s So True,Gracie Abrams
pop,0.67,0.91,0.786,0.304,0.0634,0.0939,81,Taste,Sabrina Carpenter
pop,0.777,0.783,0.939,0.355,0.26,0.0283,98,APT.,"ROSÉ, Bruno Mars"
pop,0.7,0.582,0.785,0.0881,0.0356,0.0502,94,"Good Luck, Babe!",Chappell Roan
pop,0.669,0.561,0.841,0.0954,0.0411,0.495,88,Diet Pepsi,Addison Rae
pop,0.467,0.247,0.126,0.17,0.0431,0.612,93,WILDFLOWER,Billie Eilish
pop,0.492,0.416,0.297,0.203,0.0254,0.686,71,Sailor Song,Gigi Perez
pop,0.769,0.722,0.57,0.111,0.0507,0.0584,92,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti"
pop,0.776,0.667,0.618,0.0761,0.0983,0.0146,85,Guess featuring billie eilish,"Charli xcx, Billie Eilish"
pop,0.669,0.586,0.579,0.104,0.054,0.274,88,Please Please Please,Sabrina Carpenter
pop,0.608,0.806,0.587,0.191,0.0486,0.121,79,2 hands,Tate McRae
pop,0.722,0.709,0.604,0.0804,0.0273,0.0633,86,A Bar Song (Tipsy),Shaboozey
pop,0.742,0.757,0.957,0.305,0.0421,0.0187,88,HOT TO GO!,Chappell Roan
pop,0.562,0.917,0.501,0.488,0.117,0.0513,86,Disease,Lady Gaga
pop,0.734,0.787,0.672,0.312,0.116,0.126,82,Moonlit Floor (Kiss Me),LISA
pop,0.619,0.843,0.746,0.164,0.0284,0.00948,86,Love Somebody,Morgan Wallen
pop,0.53,0.406,0.338,0.133,0.033,0.656,90,"I Love You, I'm Sorry",Gracie Abrams
pop,0.727,0.782,0.655,0.225,0.042,0.0563,86,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii"
pop,0.505,0.812,0.664,0.444,0.461,0.285,88,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne"
pop,0.701,0.76,0.69,0.185,0.0285,0.107,90,Espresso,Sabrina Carpenter
pop,0.894,0.725,0.838,0.0815,0.0432,0.00434,89,Mantra,JENNIE
pop,0.833,0.563,0.343,0.139,0.204,0.528,82,Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
pop,0.757,0.628,0.321,0.221,0.101,0.189,85,NEW DROP,Don Toliver
pop,0.638,0.855,0.731,0.245,0.0264,0.00757,84,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen"
pop,0.741,0.62,0.934,0.0398,0.0412,0.0295,77,Too Sweet,Hozier
pop,0.705,0.339,0.457,0.12,0.0278,0.552,84,No One Noticed,The Marías
pop,0.694,0.651,0.471,0.0787,0.0784,0.496,93,Tu Boda,"Oscar Maydon, Fuerza Regida"
pop,0.635,0.601,0.332,0.11,0.0295,0.246,88,Stargazing,Myles Smith
pop,0.836,0.691,0.703,0.282,0.363,0.00586,70,WHATCHU KNO ABOUT ME (with Sexyy Red),"GloRilla, Sexyy Red"
pop,0.645,0.646,0.295,0.074,0.0427,0.0615,81,we can't be friends (wait for your love),Ariana Grande
pop,0.472,0.471,0.219,0.14,0.0603,0.151,85,Beautiful Things,Benson Boone
pop,0.744,0.709,0.712,0.0847,0.284,0.0501,84,DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco"
pop,0.739,0.904,0.788,0.0948,0.0442,0.549,85,Touch,KATSEYE
pop,0.561,0.604,0.242,0.104,0.0337,0.199,89,Lose Control,Teddy Swims
pop,0.646,0.668,0.64,0.212,0.0282,0.491,82,Belong Together,Mark Ambor
pop,0.924,0.668,0.787,0.0678,0.0469,0.446,93,Si Antes Te Hubiera Conocido,KAROL G
pop,0.689,0.454,0.912,0.0707,0.0584,0.0351,89,End of Beginning,Djo
pop,0.504,0.386,0.281,0.0961,0.0308,0.502,84,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone"
pop,0.56,0.681,0.388,0.106,0.244,0.103,89,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose"
pop,0.898,0.472,0.214,0.141,0.0776,0.0107,88,Not Like Us,Kendrick Lamar
pop,0.487,0.711,0.317,0.152,0.0322,0.000175,85,Running Wild,Jin
pop,0.848,0.712,0.692,0.106,0.0981,0.221,84,+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd"
pop,0.882,0.645,0.788,0.057,0.0601,0.475,87,Embrace It,Ndotz
pop,0.466,0.872,0.806,0.121,0.0336,0.0156,89,The Emptiness Machine,Linkin Park
pop,0.66,0.756,0.838,0.193,0.032,0.00289,92,Who,Jimin
rock,0.579,0.508,0.609,0.0575,0.027,0.00574,81,Hotel California - 2013 Remaster,Eagles
rock,0.502,0.89,0.259,0.217,0.0364,0.000147,83,Thunderstruck,AC/DC
rock,0.743,0.446,0.278,0.337,0.0683,0.0039,82,Seven Nation Army,The White Stripes
rock,0.515,0.43,0.104,0.129,0.0372,0.0097,86,Creep,Radiohead
rock,0.5,0.824,0.539,0.0916,0.0388,0.00016,76,Come As You Are,Nirvana
rock,0.592,0.767,0.328,0.127,0.027,0.0021,81,Californication,Red Hot Chili Peppers
rock,0.445,0.952,0.624,0.112,0.0522,0.09,84,Sweet Child O' Mine,Guns N' Roses
rock,0.464,0.795,0.612,0.399,0.0926,0.0493,81,"Paint It, Black",The Rolling Stones
rock,0.828,0.492,0.789,0.128,0.0276,0.0644,84,Dreams - 2004 Remaster,Fleetwood Mac
rock,0.413,0.881,0.364,0.0805,0.0367,5.99e-05,81,Everlong,Foo Fighters
rock,0.535,0.716,0.901,0.659,0.0431,0.326,77,I Love Rock 'N Roll,Joan Jett & the Blackhearts
rock,0.475,0.322,0.387,0.11,0.0283,0.367,79,Dust in the Wind,Kansas
rock,0.693,0.394,0.721,0.247,0.0428,0.0782,74,"Another Brick in the Wall, Pt. 2",Pink Floyd
rock,0.475,0.899,0.603,0.14,0.0637,0.00375,72,Runaway,Bon Jovi
rock,0.442,0.943,0.781,0.091,0.0602,0.00293,80,Basket Case,Green Day
rock,0.559,0.345,0.458,0.141,0.0459,0.0576,82,Under the Bridge,Red Hot Chili Peppers
